,floor_1_perimeter,floor_1_core,floor_2_perimeter,floor_2_core,floor_3_perimeter,floor_3_core,floor_1_plenum,floor_2_plenum,floor_3_plenum
1578,22.69506040840659,22.93076139720684,22.69314334835746,22.880470220057635,22.687873822326026,22.782246169741867,20.568850161027633,20.294829320102856,17.737023038560253
1579,22.820583156540756,22.918230416487837,22.82891050270761,22.91563470810402,22.835247647754848,22.891687406175595,20.492323320373355,20.257593481819587,17.633939595707602
1580,22.884871808003027,22.93025207170635,22.893225285217326,22.939500143823814,22.897972410059857,22.935210103429682,20.473924616228757,20.268375844674978,17.5629446951059
1581,19.846127120112648,22.53880124121555,19.774629592454023,22.410278150476042,19.339500415524093,21.814098639862227,20.46810367170315,20.28327857425463,17.502677068616567
1582,18.76357437458835,21.84513046748075,18.663794779919055,21.682502314581757,18.034981620492907,20.8517011974983,20.1698010954097,19.91134532429745,17.401176730867327
1583,18.23365009475135,21.413229895327312,18.116032420203712,21.231903132914592,17.429821200463305,20.33423456755797,19.88565396764911,19.571425391471035,17.27610708507936
1584,18.05079312996436,21.390786452909712,17.91381221452786,21.187353031464568,17.20455626807589,20.2586139853953,19.645352321609955,19.301584658965425,17.123678659838806
1585,17.846291965481228,21.25462280173707,17.68971527150257,21.029383963922083,16.97203787227552,20.08936127563048,19.47300235445046,19.110966912510573,16.97909510106735
1586,17.625982861949556,21.096885514602505,17.44839566469931,20.84769794804495,16.721802896855742,19.89550285400978,19.305358731833536,18.93035773089147,16.818618861230245
1587,17.410582338802637,20.9343327073119,17.21027190865764,20.65859967060419,16.47282791326829,19.691716886963512,19.135185634039004,18.74828480046412,16.654190643539128
