,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_district_cooling,total_district_heating,SWH_production,PV_production,wind_production,occupants
7460,1998,11,7,21,7.0,-19450450.277487174,-44547298.71101382,693873653.7600001,0.0,6023143932.8357525,2003299179.365974,1388549283.8400002,6721994419.199999,10993679274.491148,4263459642.7159777,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4263459642.7159777,11785589369.90955,0.0,0.0,0.0,806.3873684210527
7461,1998,11,7,22,4.0,-48959920.02842296,-112132734.78290275,693873653.7600001,0.0,7965506407.042106,1909367193.6100888,1388549283.8400002,6721994419.199999,14092562370.969248,4063464787.1506777,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4063464787.1506777,14884472466.38765,0.0,0.0,0.0,806.3873684210527
7462,1998,11,7,23,5.0,-40028700.27939291,-91677593.21354534,693873653.7600001,0.0,7344289694.191905,1917474220.416809,1370899077.12,6633743385.6,13087896148.392168,4080737462.9064984,791910095.4184026,130457878.0830862,274669943.8695298,8409770284.672616,4080737462.9064984,13879806243.81057,0.0,0.0,0.0,806.3873684210527
7463,1998,11,7,24,6.0,-25309073.62633664,-57965283.41744472,693873653.7600001,0.0,6703199281.6268635,1945760068.1983376,1370899077.12,6633743385.6,12063371120.703465,4140962311.5331335,791910095.4184026,130457878.0830862,274669943.8695298,8409770284.672616,4140962311.5331335,12855281216.121866,0.0,0.0,0.0,806.3873684210527
7464,1998,11,8,1,6.0,-30645931.41073987,-70188270.2639335,693873653.7600001,0.0,6682705212.546379,1963211669.0430276,1388549283.8400002,6721994419.199999,12040635373.885914,4178108109.7516103,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4178108109.7516103,12832545469.304316,0.0,0.0,0.0,806.3873684210527
7465,1998,11,8,2,6.0,-19153707.131712414,-43867668.91495844,693873653.7600001,0.0,6688537873.1735935,1960978717.3672984,1388549283.8400002,6721994419.199999,12048762737.829107,4173353689.6352034,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4173353689.6352034,12840672833.247509,0.0,0.0,0.0,806.3873684210527
7466,1998,11,8,3,7.0,-19582662.872155733,-44850104.75735381,693873653.7600001,0.0,6049047112.694867,1991067664.6487558,1388549283.8400002,6721994419.199999,11028375382.784124,4237417532.226631,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4237417532.226631,11820285478.202526,0.0,0.0,0.0,806.3873684210527
7467,1998,11,8,4,6.0,-22984448.558054898,-52641202.697950125,693873653.7600001,0.0,6693709083.666122,1959615382.493947,1388549283.8400002,6721994419.199999,12056339550.925812,4170450871.8441243,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4170450871.8441243,12848249646.344213,0.0,0.0,0.0,806.3873684210527
7468,1998,11,8,5,6.0,-22984448.558054898,-52641202.697950125,693873653.7600001,0.0,6696999272.836849,1957716033.8669682,1388549283.8400002,6721994419.199999,12060538380.4493,4166406947.8335114,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4166406947.8335114,12852448475.867702,0.0,0.0,0.0,806.3873684210527
7469,1998,11,8,6,6.0,-23797285.9114346,-54502841.26507297,693873653.7600001,0.0,6676247996.181021,1975053926.2129254,1406199490.56,6810245452.8,12037317258.254852,4203310375.6478424,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4203310375.6478424,12829227353.673254,0.0,0.0,0.0,806.3873684210527
7470,1998,11,8,7,6.0,-23797285.9114346,-54502841.26507297,693873653.7600001,0.0,6528331455.425454,2091472484.228434,1494450524.1599998,7251500620.800001,11867451078.25312,4451109772.094582,1108674133.5857637,130457878.0830862,274669943.8695298,9151078966.912617,4451109772.094582,12976125211.838884,0.0,0.0,0.0,1128.9423157894737
7471,1998,11,8,8,7.0,96711421.04242669,58805503.35006593,693873653.7600001,0.0,5807533887.810523,2193981311.8362594,1565051351.04,7604504755.199999,10758795801.781448,4669316749.035701,1108674133.5857637,130457878.0830862,274669943.8695298,9574683928.192614,4669316749.035701,11867469935.367212,0.0,0.0,0.0,1128.9423157894737
7472,1998,11,8,9,8.0,196591549.6054379,126853509.66407394,693873653.7600001,0.0,5131646429.320654,2258036642.469345,1565051351.04,7604504755.199999,9699831164.007122,4805676826.722693,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4805676826.722693,11204460345.302086,0.0,0.0,0.0,1532.1359999999997
7473,1998,11,8,10,8.0,278951692.7970539,170528828.03433207,693873653.7600001,0.0,5130961967.421924,2262871836.962562,1565051351.04,7604504755.199999,9701645357.336712,4815967246.247965,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4815967246.247965,11206274538.631676,0.0,0.0,0.0,1532.1359999999997
7474,1998,11,8,11,8.0,393678911.6299177,421215803.8741858,693873653.7600001,0.0,5142585935.580301,2262038300.884867,1565051351.04,7604504755.199999,9720034375.460924,4814187766.552194,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4814187766.552194,11224663556.75589,0.0,0.0,0.0,1532.1359999999997
